Estacion;Fecha inicial;Fecha final;PM2.5
ZIPAQUIRÁ - EFZ;6/01/2024 20:00;6/01/2024 20:59;11,77
ZIPAQUIRÁ - EFZ;6/01/2024 19:00;6/01/2024 19:59;7
ZIPAQUIRÁ - EFZ;6/01/2024 18:00;6/01/2024 18:59;6,95
ZIPAQUIRÁ - EFZ;6/01/2024 17:00;6/01/2024 17:59;5,82
ZIPAQUIRÁ - EFZ;6/01/2024 16:00;6/01/2024 16:59;2,09
ZIPAQUIRÁ - EFZ;6/01/2024 15:00;6/01/2024 15:59;4,18
ZIPAQUIRÁ - EFZ;6/01/2024 14:00;6/01/2024 14:59;8,14
ZIPAQUIRÁ - EFZ;6/01/2024 13:00;6/01/2024 13:59;11,05
ZIPAQUIRÁ - EFZ;6/01/2024 12:00;6/01/2024 12:59;12,64
ZIPAQUIRÁ - EFZ;6/01/2024 11:00;6/01/2024 11:59;26,32
ZIPAQUIRÁ - EFZ;6/01/2024 10:00;6/01/2024 10:59;32,72
ZIPAQUIRÁ - EFZ;6/01/2024 9:00;6/01/2024 9:59;27,28
ZIPAQUIRÁ - EFZ;6/01/2024 8:00;6/01/2024 8:59;32,54
ZIPAQUIRÁ - EFZ;6/01/2024 7:00;6/01/2024 7:59;22,63
ZIPAQUIRÁ - EFZ;6/01/2024 6:00;6/01/2024 6:59;15,37
ZIPAQUIRÁ - EFZ;6/01/2024 5:00;6/01/2024 5:59;22,36
ZIPAQUIRÁ - EFZ;6/01/2024 4:00;6/01/2024 4:59;9,64
ZIPAQUIRÁ - EFZ;6/01/2024 3:00;6/01/2024 3:59;22,68
ZIPAQUIRÁ - EFZ;6/01/2024 2:00;6/01/2024 2:59;15,68
ZIPAQUIRÁ - EFZ;6/01/2024 1:00;6/01/2024 1:59;8,91
ZIPAQUIRÁ - EFZ;6/01/2024 0:00;6/01/2024 0:59;7,64
ZIPAQUIRÁ - EFZ;5/01/2024 23:00;5/01/2024 23:59;20,68
ZIPAQUIRÁ - EFZ;5/01/2024 22:00;5/01/2024 22:59;14,14
ZIPAQUIRÁ - EFZ;5/01/2024 21:00;5/01/2024 21:59;16,72
ZIPAQUIRÁ - EFZ;5/01/2024 20:00;5/01/2024 20:59;11,37
ZIPAQUIRÁ - EFZ;5/01/2024 19:00;5/01/2024 19:59;18,4
ZIPAQUIRÁ - EFZ;5/01/2024 18:00;5/01/2024 18:59;5,95
ZIPAQUIRÁ - EFZ;5/01/2024 17:00;5/01/2024 17:59;5,14
ZIPAQUIRÁ - EFZ;5/01/2024 16:00;5/01/2024 16:59;7,91
ZIPAQUIRÁ - EFZ;5/01/2024 15:00;5/01/2024 15:59;6,64
ZIPAQUIRÁ - EFZ;5/01/2024 14:00;5/01/2024 14:59;19,54
ZIPAQUIRÁ - EFZ;5/01/2024 13:00;5/01/2024 13:59;10,2
ZIPAQUIRÁ - EFZ;5/01/2024 12:00;5/01/2024 12:59;17,09
ZIPAQUIRÁ - EFZ;5/01/2024 11:00;5/01/2024 11:59;19,46
ZIPAQUIRÁ - EFZ;5/01/2024 10:00;5/01/2024 10:59;29,18
ZIPAQUIRÁ - EFZ;5/01/2024 9:00;5/01/2024 9:59;32,77
ZIPAQUIRÁ - EFZ;5/01/2024 8:00;5/01/2024 8:59;27,82
ZIPAQUIRÁ - EFZ;5/01/2024 7:00;5/01/2024 7:59;23,86
ZIPAQUIRÁ - EFZ;5/01/2024 6:00;5/01/2024 6:59;20,68
ZIPAQUIRÁ - EFZ;5/01/2024 5:00;5/01/2024 5:59;14,18
ZIPAQUIRÁ - EFZ;5/01/2024 4:00;5/01/2024 4:59;17,68
ZIPAQUIRÁ - EFZ;5/01/2024 3:00;5/01/2024 3:59;10,86
ZIPAQUIRÁ - EFZ;5/01/2024 2:00;5/01/2024 2:59;7,95
ZIPAQUIRÁ - EFZ;5/01/2024 1:00;5/01/2024 1:59;7,14
ZIPAQUIRÁ - EFZ;5/01/2024 0:00;5/01/2024 0:59;10,28
ZIPAQUIRÁ - EFZ;4/01/2024 23:00;4/01/2024 23:59;15,77
ZIPAQUIRÁ - EFZ;4/01/2024 22:00;4/01/2024 22:59;10,95
ZIPAQUIRÁ - EFZ;4/01/2024 21:00;4/01/2024 21:59;9,91
ZIPAQUIRÁ - EFZ;4/01/2024 20:00;4/01/2024 20:59;8,05
ZIPAQUIRÁ - EFZ;4/01/2024 19:00;4/01/2024 19:59;8,86
ZIPAQUIRÁ - EFZ;4/01/2024 18:00;4/01/2024 18:59;6
ZIPAQUIRÁ - EFZ;4/01/2024 17:00;4/01/2024 17:59;6
ZIPAQUIRÁ - EFZ;4/01/2024 16:00;4/01/2024 16:59;6,05
ZIPAQUIRÁ - EFZ;4/01/2024 15:00;4/01/2024 15:59;6,91
ZIPAQUIRÁ - EFZ;4/01/2024 14:00;4/01/2024 14:59;5,09
ZIPAQUIRÁ - EFZ;4/01/2024 13:00;4/01/2024 13:59;7
ZIPAQUIRÁ - EFZ;4/01/2024 12:00;4/01/2024 12:59;7,46
